rank,year,duration,age_limit,rating,numberof_ratings,Metascore,storyline,movie_name,processed_storyline
781,2013,3h,18,7.7,(164K),90.0,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.", Blue Is the Warmest Colour,adles life is changed when she meets emma a young woman with blue hair who will allow her to discover desire and to assert herself as a woman and as an adult in front of others adle grows seeks herself loses herself and ultimately finds herself through love and loss
782,2000,1h 50m,15,7.7,(144K),74.0,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family., Billy Elliot,a talented young boy becomes torn between his unexpected love of dance and the disintegration of his family
783,2004,2h 26m,18,7.7,(392K),47.0,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.", Man on Fire,in mexico city a former cia operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect
784,2001,2h 24m,15,7.7,(426K),74.0,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.", Black Hawk Down,the story of elite us soldiers who dropped into mogadishu in october to capture two top lieutenants of a renegade warlord but found themselves in a desperate battle with a large force of heavily armed somalis
785,1980,1h 28m,PG,7.7,(263K),78.0,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.", Airplane!,after the crew becomes sick with food poisoning a neurotic exfighter pilot must safely land a commercial airplane full of passengers
786,2010,1h 40m,PG,7.7,(498K),71.0,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.", Tangled,the magically longhaired rapunzel has spent her entire life in a tower but now that a runaway thief has stumbled upon her she is about to discover the world for the first time and who she really is
787,1974,1h 33m,AA,7.7,(153K),73.0,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.", Blazing Saddles,in order to ruin a western town a corrupt politician appoints a black sheriff who promptly becomes his most formidable adversary
788,2007,2h 37m,15,7.7,(602K),79.0,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.", Zodiac,between and a san francisco cartoonist becomes an amateur detective obsessed with tracking down the zodiac killer an unidentified individual who terrorizes northern california with a killing spree
789,2009,1h 35m,12A,7.7,(562K),76.0,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.", 500 Days of Summer,after being dumped by the girl he believes to be his soulmate hopeless romantic tom hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back
790,2010,2h 26m,12A,7.7,(603K),65.0,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.", Harry Potter and the Deathly Hallows: Part 1,as harry ron and hermione race against time and evil to destroy the horcruxes they uncover the existence of the three most powerful objects in the wizarding world the deathly hallows
791,2022,1h 54m,15,7.7,(256K),87.0,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.", The Banshees of Inisherin,two lifelong friends find themselves at an impasse when one abruptly ends their relationship with alarming consequences for both of them
792,1995,2h 20m,PG,7.7,(317K),78.0,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy., Apollo 13,nasa must devise a strategy to return apollo to earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy
793,2003,1h 42m,15,7.7,(493K),91.0,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo., Lost in Translation,a faded movie star and a neglected young woman form an unlikely bond after crossing paths in tokyo
794,2011,2h 11m,12A,7.7,(727K),65.0,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.", X-Men: First Class,in the s superpowered humans charles xavier and erik lensherr work together to find others like them but eriks vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them
795,2001,1h 56m,12,7.7,(623K),74.0,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously., Ocean's Eleven,danny ocean and his ten accomplices plan to rob three las vegas casinos simultaneously
796,1990,1h 43m,PG,7.7,(656K),63.0,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.", Home Alone,an eightyearold troublemaker mistakenly left home alone must defend his home against a pair of burglars on christmas eve
797,1986,2h,18,7.7,(217K),75.0,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.", Blue Velvet,the discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child
798,2021,2h 8m,15,7.7,(100K),91.0,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.", The Worst Person in the World,the chronicles of four years in the life of julie a young woman who navigates the troubled waters of her love life and struggles to find her career path leading her to take a realistic look at who she really is
799,2018,2h 27m,12A,7.7,(380K),87.0,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.", Mission: Impossible - Fallout,ethan hunt and his imf team along with some familiar allies race against time after a mission gone wrong
800,1996,2h 9m,18,7.7,(249K),47.0,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.", Primal Fear,an altar boy is accused of murdering a priest and the truth is buried several layers deep
801,2009,1h 40m,PG,7.7,(266K),80.0,"Wandering her rambling old house in her boring new town, an 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.", Coraline,wandering her rambling old house in her boring new town an yearold coraline discovers a hidden door to a strangely idealized version of her life in order to stay in the fantasy she must make a frighteningly real sacrifice
802,2008,1h 30m,18,7.7,(637K),51.0,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.", Taken,a retired cia agent travels across europe and relies on his old skills to save his estranged daughter who has been kidnapped while on a trip to paris
803,1997,2h 9m,15,7.7,(432K),63.0,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.", The Game,after a wealthy san francisco banker is given an opportunity to participate in a mysterious game his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him
804,2000,1h 47m,12,7.7,(332K),69.0,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."," O Brother, Where Art Thou?",in the deep south during the s three escaped convicts search for hidden treasure while a relentless lawman pursues them
805,2019,1h 40m,U,7.7,(282K),84.0,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.", Toy Story 4,when a new toy called forky joins woody and the gang a road trip alongside old and new friends reveals how big the world can be for a toy
806,2017,1h 47m,15,7.7,(282K),73.0,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.", Wind River,a wildlife officer who is haunted by a tragedy that happened because of him teams up with an fbi agent in solving a murder of a young woman on a wyoming native american reservation and hopes to get redemption from his past regrets
807,1998,2h 14m,18,7.7,(75K),81.0,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.", Happiness,the lives of several individuals intertwine as they go about their lives in their own unique ways engaging in acts which society as a whole might find disturbing in a desperate search for human connection
808,2002,2h 11m,PG,7.7,(149K),61.0,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.", The Count of Monte Cristo,a young man falsely imprisoned by his jealous friend escapes and uses a hidden treasure to exact his revenge
809,2001,1h 46m,18,7.7,(129K),89.0,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other.", Y tu mamÃ¡ tambiÃ©n,in mexico two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other
810,2001,2h 2m,18,7.7,(476K),71.0,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be., Training Day,a rookie cop spends his first day as a los angeles narcotics officer with a rogue detective who isnt what he appears to be
811,1992,2h 18m,15,7.7,(289K),62.0,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders., A Few Good Men,military lawyer lieutenant daniel kaffee defends marines accused of murder they contend they were acting under orders
812,2014,2h 16m,12A,7.7,(903K),70.0,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.", Captain America: The Winter Soldier,as steve rogers struggles to embrace his role in the modern world he teams up with a fellow avenger and shield agent black widow to battle a new threat from history an assassin known as the winter soldier
813,1972,1h 49m,18,7.7,(120K),80.0,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.", Deliverance,intent on seeing the cahulawassee river before its dammed and turned into a lake outdoor fanatic lewis medlock takes his friends on a canoeing trip theyll never forget into the dangerous american backcountry
814,1993,1h 58m,12,7.7,(255K),73.0,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness., What's Eating Gilbert Grape,a young man in a small midwestern town struggles to care for his mentallydisabled younger brother and morbidly obese mother while attempting to pursue his own happiness
815,1982,1h 33m,15,7.7,(277K),61.0,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers., First Blood,a veteran green beret is forced by a cruel sheriff and his deputies to flee into the mountains and wage an escalating oneman war against his pursuers
816,1998,1h 27m,U,7.7,(318K),72.0,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.", Mulan,to save her father from death in the army a young maiden secretly goes in his place and becomes one of chinas greatest heroines in the process
817,2008,1h 34m,12A,7.7,(249K),55.0,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.", The Boy in the Striped Pyjamas,through the innocent eyes of bruno the eightyearold son of the commandant at a german concentration camp a forbidden friendship with a jewish boy on the other side of the camp fence has startling and unexpected consequences
818,1978,1h 31m,X,7.7,(308K),90.0,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.", Halloween,fifteen years after murdering his sister on halloween night michael myers escapes from a mental hospital and returns to the small town of haddonfield illinois to kill again
819,2004,1h 52m,15,7.7,(450K),66.0,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.", Crash,los angeles citizens with vastly separate lives collide in interweaving stories of race loss and redemption
820,1988,1h 44m,PG,7.7,(218K),83.0,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.", Who Framed Roger Rabbit,when a cartoon rabbit is accused of murder he enlists the help of a burnt out private investigator to prove his innocence
821,2014,2h 6m,12A,7.7,(403K),69.0,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam.", The Fault in Our Stars,hazel and gus are teenagers who meet at a cancer support group and fall in love they both share the same acerbic wit and a love of books especially an imperial affliction so they embark on a journey to visit an author in amsterdam
822,1974,1h 53m,AA,7.7,(123K),87.0,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.", The Conversation,a paranoid secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered
823,2012,2h 2m,15,7.7,(745K),81.0,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.", Silver Linings Playbook,after a stint in a mental institution former teacher pat solitano moves back in with his parents and tries to reconcile with his exwife things get more challenging when pat meets tiffany a mysterious girl with problems of her own
824,2012,2h,15,7.7,(641K),86.0,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.", Argo,acting under the cover of a hollywood producer scouting a location for a science fiction film a cia agent launches a dangerous operation to rescue six americans in tehran during the us hostage crisis in iran in
825,1995,2h 16m,U,7.7,(126K),84.0,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.", Sense and Sensibility,rich mr dashwood dies leaving his second wife and her three daughters poor by the rules of inheritance the two eldest daughters are the title opposites
826,2014,1h 59m,15,7.7,(669K),87.0,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.", Birdman or (The Unexpected Virtue of Ignorance),a washedup superhero actor attempts to revive his fading career by writing directing and starring in a broadway production
827,1964,1h 50m,PG,7.7,(203K),87.0,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.", Goldfinger,while investigating a gold magnates smuggling james bond uncovers a plot to contaminate the fort knox gold reserve
828,1992,1h 40m,15,7.7,(117K),84.0,An examination of the machinations behind the scenes at a real estate office., Glengarry Glen Ross,an examination of the machinations behind the scenes at a real estate office
829,1971,1h 44m,X,7.7,(136K),94.0,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.", The French Connection,a pair of nypd detectives in the narcotics bureau stumble onto a heroin smuggling ring based in marseilles but stopping them and capturing their leaders proves an elusive goal
830,1991,2h 10m,PG,7.7,(84K),64.0,"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe.", Fried Green Tomatoes at the Whistle Stop Cafe,evelyn an ordinary housewife visits a nursing home and befriends the old lady ninny together they bond over stories from the past about two intrepid women of whistle stop cafe
831,2012,1h 41m,PG,7.7,(461K),72.0,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.", Wreck-It Ralph,a video game villain wants to be a hero and sets out to fulfill his dream but his quest brings havoc to the whole arcade where he lives
832,1997,1h 46m,15,7.7,(325K),64.0,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel., Gattaca,a genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel
833,1988,1h 47m,12,7.7,(45K),,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.", The Vanishing,rex and saskia a young couple in love are on vacation they stop at a busy service station and saskia is abducted after three years and no sign of saskia rex begins receiving letters from the abductor
834,2013,1h 31m,12A,7.7,(866K),96.0,"Dr Ryan Stone, an engineer on her first time on a space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.", Gravity,dr ryan stone an engineer on her first time on a space mission and matt kowalski an astronaut on his final expedition have to survive in space after they are hit by debris while spacewalking
835,1989,1h 35m,15,7.7,(244K),76.0,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.", When Harry Met Sally,harry and sally have known each other for years and are very good friends but they fear sex would ruin the friendship
836,1997,2h 19m,15,7.7,(320K),67.0,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.", As Good as It Gets,a single mother and waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is assaulted in a robbery
837,1980,2h 4m,AA,7.7,(57K),86.0,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.", Ordinary People,the accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the goodnatured father and the guiltridden younger son
838,1993,2h 11m,18,7.7,(44K),85.0,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey., Naked,an unemployed mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal london odyssey
839,2020,1h 57m,12A,7.7,(197K),79.0,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives., Another Round,four highschool teachers consume alcohol on a daily basis to see how it affects their social and professional lives
840,1993,2h 5m,12,7.7,(259K),66.0,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic-small time lawyer as the only willing advocate for a wrongful dismissal suit.", Philadelphia,when a man with hiv is fired by his law firm because of his condition he hires a homophobicsmall time lawyer as the only willing advocate for a wrongful dismissal suit
841,2004,1h 48m,12A,7.7,(489K),73.0,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.", The Bourne Supremacy,when jason bourne is framed for a cia operation gone awry he is forced to resume his former life as a trained assassin to survive
842,2014,2h 3m,12A,7.7,(484K),71.0,Stephen Hawking gets unprecedented success in the field of physics despite being diagnosed with motor neuron disease at the age of 21. He defeats awful odds as his first wife Jane aids him loyally., The Theory of Everything,stephen hawking gets unprecedented success in the field of physics despite being diagnosed with motor neuron disease at the age of he defeats awful odds as his first wife jane aids him loyally
843,2009,2h 21m,15,7.7,(247K),63.0,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.", Mr,a boy stands on a station platform as a train is about to leave should he go with his mother or stay with his father infinite possibilities arise from this decision as long as he doesnt choose anything is possible
844,1987,2h 33m,PG,7.7,(135K),62.0,A young English boy struggles to survive under Japanese occupation of China during World War II., Empire of the Sun,a young english boy struggles to survive under japanese occupation of china during world war ii
845,2011,1h 38m,15,7.7,(100K),52.0,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment., Detachment,a substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment
846,2006,1h 41m,18,7.7,(129K),86.0,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.", This Is England,a young boy becomes friends with a gang of skinheads friends soon become like family and relationships will be pushed to the very limit
847,2013,2h 12m,12A,7.7,(498K),72.0,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.", Star Trek Into Darkness,after the crew of the enterprise find an unstoppable force of terror from within their own organization captain kirk leads a manhunt to a warzone world to capture a oneman weapon of mass destruction
848,1960,2h 8m,PG,7.7,(103K),74.0,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits., The Magnificent Seven,seven gunfighters are hired by mexican peasants to liberate their village from oppressive bandits
849,2008,2h 21m,15,7.7,(266K),63.0,"After Christine's son goes missing, she reaches out to the LAPD to find him. But when they try to pass off an impostor as her son to quieten public protests, she refuses to accept him or give up hope.", Changeling,after christines son goes missing she reaches out to the lapd to find him but when they try to pass off an impostor as her son to quieten public protests she refuses to accept him or give up hope
850,1997,2h 7m,18,7.7,(334K),77.0,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one., Donnie Brasco,an fbi undercover agent infiltrates the mob and finds himself identifying more with the mafia lifeat the expense of his regular one
851,2002,1h 57m,15,7.7,(286K),72.0,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.", Road to Perdition,a mob enforcers son in s illinois witnesses a murder forcing him and his father to take to the road and his father down a path of redemption and revenge
852,2001,1h 39m,15,7.7,(67K),85.0,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe., Waking Life,a man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe
853,2004,1h 39m,15,7.7,(152K),78.0,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.", Kung Fu Hustle,in shanghai china in the s a wannabe gangster aspires to join the notorious axe gang while residents of a housing complex exhibit extraordinary powers in defending their turf
854,2002,1h 55m,15,7.7,(204K),83.0,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen., Adaptation,a lovelorn screenwriter becomes desperate as he tries and fails to adapt the orchid thief by susan orlean for the screen
855,1971,1h 42m,X,7.7,(169K),87.0,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.", Dirty Harry,when a man calling himself the scorpio killer menaces san francisco toughasnails police inspector dirty harry callahan is assigned to track down the crazed psychopath
856,2010,1h 30m,PG,7.7,(98K),45.0,Two eighth-graders start to have feelings for each other despite being total opposites., Flipped,two eighthgraders start to have feelings for each other despite being total opposites
857,1982,1h 53m,12A,7.7,(130K),68.0,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.", Star Trek II: The Wrath of Khan,with the assistance of the enterprise crew admiral kirk must stop an old nemesis khan noonien singh from using the lifegenerating genesis device as the ultimate weapon
858,2015,1h 45m,12A,7.7,(139K),74.0,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.", Me and Earl and the Dying Girl,high schooler greg who spends most of his time making parodies of classic movies with his coworker earl finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer
859,1967,1h 51m,X,7.7,(121K),86.0,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.", Bonnie and Clyde,bored waitress bonnie parker falls in love with an excon named clyde barrow and together they start a violent crime spree through the country stealing cars and robbing banks
860,2006,1h 50m,18,7.7,(327K),53.0,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.", Lucky Number Slevin,a case of mistaken identity lands slevin into the middle of a war being plotted by two of the citys most rival crime bosses under constant surveillance by detective brikowski and assassin goodkat he must get them before they get him
861,2019,2h,15,7.7,(152K),82.0,A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence., Sound of Metal,a heavy metal drummers life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence
862,1964,2h 50m,U,7.7,(102K),95.0,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society.", My Fair Lady,in s london snobbish phonetics professor henry higgins agrees to a wager that he can make crude flower girl eliza doolittle presentable in high society
863,1999,1h 53m,15,7.7,(354K),90.0,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich., Being John Malkovich,a puppeteer discovers a portal that leads literally into the head of movie star john malkovich
864,1985,2h 34m,15,7.7,(98K),78.0,"A tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry.", The Color Purple,a tale spanning forty years in the life of celie an africanamerican woman living in the south who survives incredible abuse and bigotry
865,1973,2h 10m,X,7.7,(136K),83.0,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him., Serpico,an honest new york cop named frank serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him
866,1987,1h 24m,18,7.7,(183K),72.0,"Ash Williams, the lone survivor of an earlier onslaught of flesh-possessing spirits, holes up in a cabin with a group of strangers while the demons continue their attack.", Evil Dead II,ash williams the lone survivor of an earlier onslaught of fleshpossessing spirits holes up in a cabin with a group of strangers while the demons continue their attack
867,2020,2h 9m,15,7.7,(194K),76.0,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.", The Trial of the Chicago 7,the story of people on trial stemming from various charges surrounding the uprising at the democratic national convention in chicago illinois
868,1977,2h 1m,AA,7.7,(28K),68.0,Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous Latin American jungle., Sorcerer,four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous latin american jungle
869,1990,1h 55m,18,7.7,(143K),66.0,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.", Miller's Crossing,tom reagan an advisor to a prohibitionera crime boss tries to keep the peace between warring mobs but gets caught in divided loyalties
870,1994,1h 32m,18,7.7,(233K),70.0,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.", Clerks,a day in the lives of two convenience clerks named dante and randal as they annoy customers discuss movies and play hockey on the store roof
871,2006,1h 30m,15,7.7,(98K),81.0,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.", Paprika,when a machine that allows therapists to enter their patients dreams is stolen all hell breaks loose only a young female therapist paprika can stop it
872,1978,1h 34m,PG,7.7,(63K),94.0,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune., Days of Heaven,a hottempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune
873,1967,2h 30m,X,7.7,(79K),73.0,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.", The Dirty Dozen,during world war ii a rebellious us army major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of german officers
874,1947,1h 41m,U,7.7,(28K),86.0,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.", Black Narcissus,a group of nuns struggle to establish a convent in the himalayas while isolation extreme weather altitude and culture clashes all conspire to drive the wellintentioned missionaries mad
875,1992,3h 22m,15,7.7,(103K),73.0,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination.", Malcolm X,biographical epic of the controversial and influential black nationalist leader from his early life and career as a smalltime gangster to his ministry as a member of the nation of islam and his eventual assassination
876,2013,2h 21m,15,7.7,(98K),86.0,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.", The Great Beauty,jep gambardella has seduced his way through the lavish nightlife of rome for decades but after his th birthday and a shock from the past jep looks past the nightclubs and parties to find a timeless landscape of absurd exquisite beauty
877,1999,1h 21m,15,7.7,(216K),73.0,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."," South Park: Bigger, Longer & Uncut",when stan marsh and his friends go see an rrated movie they start cursing and their parents think that canada is to blame
878,1973,1h 34m,X,7.7,(79K),93.0,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.", Badlands,an impressionable teenage girl from a deadend town and her older greaser boyfriend embark on a killing spree in the south dakota badlands
879,1951,1h 32m,U,7.7,(86K),83.0,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.", The Day the Earth Stood Still,an alien lands in washington dc and tells the people of earth that they must live peacefully or be destroyed as a danger to other planets
880,1987,2h 43m,15,7.7,(112K),76.0,"Bernardo Bertolucci's Oscar-winning dramatisation of the life story of China's last emperor, Pu Yi.", The Last Emperor,bernardo bertoluccis oscarwinning dramatisation of the life story of chinas last emperor pu yi
881,2004,2h 32m,15,7.7,(158K),73.0,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.", Ray,the story of the life and career of the legendary rhythm and blues musician ray charles from his humble beginnings in the south where he went blind at age seven to his meteoric rise to stardom during the s and s
